dataset,column,source_type,facet,timing,panel_use,normalization,description,rationale
swaptr.matches,away_sot,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `away_sot` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,away_team,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,Column `away_team` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,away_total_shots,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `away_total_shots` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,date,date,context,ex_ante,predictive_allowed,date to temporal features known before event when ex-ante,Column `date` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,dayofweek,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,Column `dayofweek` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,gameweek,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,Column `gameweek` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,home_captain,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,Column `home_captain` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_cards_red,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Column `home_cards_red` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_cards_yellow,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_cards_yellow` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_corners,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_corners` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_crosses,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_crosses` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_formation,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,Column `home_formation` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,home_fouls,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_fouls` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_interceptions,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_interceptions` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_manager,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,Column `home_manager` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,home_offsides,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_offsides` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_possession,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_possession` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_saves,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_saves` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_score,number,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_score` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,Realized result/performance; never allowed in future-prediction panel.
swaptr.matches,home_sot,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_sot` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,home_team,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,Column `home_team` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,home_total_shots,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `home_total_shots` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,notes,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,Column `notes` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,In-event or post-event observation; explanatory/anchor use only.
swaptr.matches,referee,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,Column `referee` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,round,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,Column `round` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,score,text,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Column `score` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,Realized result/performance; never allowed in future-prediction panel.
swaptr.matches,start_time,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,Column `start_time` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
swaptr.matches,venue,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,Column `venue` from `matches.csv` inside `swaptr/fifa-wc-2026-matches.zip`; physical archive rows=85.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,away_team,boolean,context,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the team was the away team. Coded {1} if the team was the away team and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,city_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The city in which the match was played.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,country_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the country in which the match was played.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,draw,boolean,outcome_anchor,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match ended in a draw. Coded {1} of the match ended in a draw and {0} otherwise.,Realized result/performance; never allowed in future-prediction panel.
team_appearances,extra_time,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match went to extra time. Coded {1} if the match went to extra time and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
team_appearances,goal_differential,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The team's goal differential.,Realized result/performance; never allowed in future-prediction panel.
team_appearances,goals_against,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of goals scored against the team.,Realized result/performance; never allowed in future-prediction panel.
team_appearances,goals_for,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of goals scored by the team.,Realized result/performance; never allowed in future-prediction panel.
team_appearances,group_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the group.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,group_stage,boolean,context,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the match is a group stage match. Coded {1} if the match is a group stage match and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,home_team,boolean,context,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the team was the home team. Coded {1} if the team was the home team and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
team_appearances,knockout_stage,boolean,context,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the match is a knockout stage match. Coded {1} if the match is a knockout stage match and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,lose,boolean,outcome_anchor,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the team lost the match. Coded {1} if the team lost the match and {0} otherwise.,Realized result/performance; never allowed in future-prediction panel.
team_appearances,match_date,date,context,ex_ante,predictive_allowed,date to temporal features known before event when ex-ante,The date of the match in the format {YYYY-MM-DD}.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,match_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the match. References {match_id} in the {matches} dataset.,Stable id used for joins and readback.
team_appearances,match_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the match.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,match_time,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The time of the match in the format {HH:MM}.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,opponent_code,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The 3-letter code for the team's opponent.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,opponent_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team's opponent. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
team_appearances,opponent_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the team's opponent.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,penalties_against,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,"The number of penalties scored by the team, if the match ended in a penalty shootout. Coded {0} if there was not a shootout.",In-event or post-event observation; explanatory/anchor use only.
team_appearances,penalties_for,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,"The number of penalties scored by the opponent, if the match ended in a penalty shootout. Coded {0} if there was not a shootout.",In-event or post-event observation; explanatory/anchor use only.
team_appearances,penalty_shootout,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match ended in a penalty shootout. Coded {1} if the match ended in a penalty shootout and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
team_appearances,replay,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match was a replay. Coded {1} if the match was a replay and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
team_appearances,replayed,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match was replayed. Coded {1} if the match was replayed and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
team_appearances,result,enum,outcome_anchor,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The result of the match. The possible values are: {home team win}, {away team win}, {draw}, {replayed}.",Realized result/performance; never allowed in future-prediction panel.
team_appearances,stadium_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the stadium. References {stadium_id} in the {stadiums} dataset.,Stable id used for joins and readback.
team_appearances,stadium_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the stadium.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,stage_name,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.","Fixture, tournament, role, venue, or appointment context."
team_appearances,team_code,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The 3-letter code for the team.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
team_appearances,team_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the team.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
team_appearances,tournament_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the tournament.,"Fixture, tournament, role, venue, or appointment context."
team_appearances,win,boolean,outcome_anchor,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the team won the match. Coded {1} if the team won the match and {0} otherwise.,Realized result/performance; never allowed in future-prediction panel.
teams,confederation_code,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The abbreviation for the confederation.,Entity property knowable before the match/tournament.
teams,confederation_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the confederation. References {confederation_id} in the {confederations} dataset.,Stable id used for joins and readback.
teams,confederation_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the confederation.,Entity property knowable before the match/tournament.
teams,federation_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the team's federation.,Entity property knowable before the match/tournament.
teams,federation_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The Wikipedia link of the team's federation.,Link/provenance field.
teams,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
teams,mens_team,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the country's men's team has qualified for a tournament.,Entity property knowable before the match/tournament.
teams,mens_team_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The Wikipedia link for country's men's team. Coded {not applicable} if the country's men's team has not qualified for a tournament.,Link/provenance field.
teams,region_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the region that the country is located in.,Entity property knowable before the match/tournament.
teams,team_code,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The 3-letter code for the team.,Entity property knowable before the match/tournament.
teams,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the team. Has the format {T-##}, where the number is a counter that is assigned with the data sorted by the year of the team's first tournament and then by the team's name.",Stable id used for joins and readback.
teams,team_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the team.,Entity property knowable before the match/tournament.
teams,womens_team,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the country's women's team has qualified for a tournament.,Entity property knowable before the match/tournament.
teams,womens_team_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The Wikipedia link for country's women's team. Coded {not applicable} if the country's women's team has not qualified for a tournament.,Link/provenance field.
tournament_stages,count_matches,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The number of matches in the stage.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,count_playoffs,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of playoff games in the stage.,In-event or post-event observation; explanatory/anchor use only.
tournament_stages,count_replays,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of replays in the stage.,In-event or post-event observation; explanatory/anchor use only.
tournament_stages,count_scheduled,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The number of games that were scheduled in the stage.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,count_teams,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The number of teams that participated in the stage.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,count_walkovers,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of walkovers in the stage.,In-event or post-event observation; explanatory/anchor use only.
tournament_stages,end_date,date,context,ex_ante,predictive_allowed,date to temporal features known before event when ex-ante,The end date of the stage in the format {YYYY-MM-DD}.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,group_stage,boolean,context,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the match is a group stage match. Coded {1} if the match is a group stage match and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
tournament_stages,knockout_stage,boolean,context,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether there was a knockout stage. Coded {1} if there was a knockout stage and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,stage_name,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.","Fixture, tournament, role, venue, or appointment context."
tournament_stages,stage_number,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The number of the stage.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,start_date,date,context,ex_ante,predictive_allowed,date to temporal features known before event when ex-ante,The start date of the stage in the format {YYYY-MM-DD}.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
tournament_stages,tournament_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the tournament.,"Fixture, tournament, role, venue, or appointment context."
tournament_stages,unbalanced_groups,boolean,context,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether there were unbalanced groups. Coded {1} if there were unbalanced groups and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
tournament_standings,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
tournament_standings,position,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The place of the team in the final standings.,In-event or post-event observation; explanatory/anchor use only.
tournament_standings,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team.,In-event or post-event observation; explanatory/anchor use only.
tournament_standings,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
tournament_standings,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team.,In-event or post-event observation; explanatory/anchor use only.
tournament_standings,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
tournament_standings,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
tournaments,count_teams,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The number of teams that participated in the tournament.,"Fixture, tournament, role, venue, or appointment context."
tournaments,end_date,date,context,ex_ante,predictive_allowed,date to temporal features known before event when ex-ante,The end date of the tournament in the format {YYYY-MM-DD}.,"Fixture, tournament, role, venue, or appointment context."
tournaments,final,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether there was a final match. Coded {1} if there was a final match and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
tournaments,final_round,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether there was a final round. Coded {1} if there was a final round and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
tournaments,group_stage,boolean,context,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the match is a group stage match. Coded {1} if the match is a group stage match and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
tournaments,host_country,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The unique ID number for the country that hosted the tournament. References {team_id} in the {teams} dataset.,"Fixture, tournament, role, venue, or appointment context."
tournaments,host_won,boolean,outcome_anchor,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether one of the host countries won the tournament. Coded {1} if one of the host countries won and {0} otherwise.,Realized result/performance; never allowed in future-prediction panel.
tournaments,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
tournaments,quarter_finals,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether there was a quarter-finals stage. Coded {1} if there was a quarter-finals stage and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
tournaments,round_of_16,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether there was a round of 16 stage. Coded {1} if there was a round of 16 stage and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
tournaments,second_group_stage,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether there was a second group stage. Coded {1} if there was a second group stage and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
tournaments,semi_finals,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether there was a semi-finals stage. Coded {1} if there was a semi-finals stage and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
tournaments,start_date,date,context,ex_ante,predictive_allowed,date to temporal features known before event when ex-ante,The start date of the tournament in the format {YYYY-MM-DD}.,"Fixture, tournament, role, venue, or appointment context."
tournaments,third_place_match,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether there was a third-place match. Coded {1} if there was a third-place match and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
tournaments,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the tournament. Has the format {WC-####}, where the number is the year of the tournament.",Stable id used for joins and readback.
tournaments,tournament_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the tournament.,"Fixture, tournament, role, venue, or appointment context."
tournaments,winner,text,outcome_anchor,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,The name of the team that won the tournament.,Realized result/performance; never allowed in future-prediction panel.
tournaments,year,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The year of the tournament.,"Fixture, tournament, role, venue, or appointment context."
